replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,1043,171417.000000,171417.000000,0.000000,171417.000000,172697.000000,1280.000000,1280.000000,HEURISTIC
2,1044,122565.000000,122565.000000,0.000000,122565.000000,123765.000000,1200.000000,1200.000000,HEURISTIC
3,1045,132856.000000,133756.000000,900.000000,132856.000000,135476.000000,2620.000000,1720.000000,HEURISTIC
4,1046,123926.000000,123926.000000,0.000000,123926.000000,124886.000000,960.000000,960.000000,HEURISTIC
5,1047,134870.000000,134870.000000,0.000000,134870.000000,135470.000000,600.000000,600.000000,HEURISTIC
6,1048,119402.000000,119402.000000,0.000000,119402.000000,120362.000000,960.000000,960.000000,HEURISTIC
7,1049,122696.000000,122696.000000,0.000000,122696.000000,123576.000000,880.000000,880.000000,HEURISTIC
8,1050,143145.000000,143145.000000,0.000000,143145.000000,144065.000000,920.000000,920.000000,HEURISTIC
9,1051,145029.000000,145029.000000,0.000000,145109.000000,146229.000000,1120.000000,1120.000000,HEURISTIC
10,1052,147504.000000,147504.000000,0.000000,147504.000000,148704.000000,1200.000000,1200.000000,HEURISTIC
11,1053,136394.000000,136394.000000,0.000000,136394.000000,136954.000000,560.000000,560.000000,HEURISTIC
12,1054,134031.000000,134031.000000,0.000000,134031.000000,134511.000000,480.000000,480.000000,HEURISTIC
13,1055,145541.000000,145541.000000,0.000000,145541.000000,146341.000000,800.000000,800.000000,HEURISTIC
14,1056,140677.000000,141277.000000,600.000000,140677.000000,142397.000000,1720.000000,1120.000000,HEURISTIC
15,1057,130770.000000,130770.000000,0.000000,130770.000000,131090.000000,320.000000,320.000000,HEURISTIC
16,1058,137639.000000,137639.000000,0.000000,137639.000000,138359.000000,720.000000,720.000000,HEURISTIC
17,1059,141516.000000,141516.000000,0.000000,141516.000000,142956.000000,1440.000000,1440.000000,HEURISTIC
18,1060,133159.000000,133159.000000,0.000000,133159.000000,134199.000000,1040.000000,1040.000000,HEURISTIC
19,1061,143737.000000,143737.000000,0.000000,143737.000000,144377.000000,640.000000,640.000000,HEURISTIC
20,1062,148912.000000,148912.000000,0.000000,148912.000000,149632.000000,720.000000,720.000000,HEURISTIC
21,1063,133457.000000,133457.000000,0.000000,133457.000000,133857.000000,400.000000,400.000000,HEURISTIC
22,1064,137191.000000,137191.000000,0.000000,137191.000000,138471.000000,1280.000000,1280.000000,HEURISTIC
23,1065,140241.000000,140481.000000,240.000000,140241.000000,141201.000000,960.000000,720.000000,HEURISTIC
24,1066,147925.000000,147925.000000,0.000000,147925.000000,148725.000000,800.000000,800.000000,HEURISTIC
25,1067,145710.000000,145710.000000,0.000000,145710.000000,146670.000000,960.000000,960.000000,HEURISTIC
26,1068,134043.000000,134043.000000,0.000000,134043.000000,134683.000000,640.000000,640.000000,HEURISTIC
27,1069,143386.000000,143386.000000,0.000000,143386.000000,143906.000000,520.000000,520.000000,HEURISTIC
28,1070,133153.000000,133153.000000,0.000000,133153.000000,134473.000000,1320.000000,1320.000000,HEURISTIC
29,1071,135994.000000,135994.000000,0.000000,135994.000000,137594.000000,1600.000000,1600.000000,HEURISTIC
30,1072,148311.000000,148311.000000,0.000000,148311.000000,149031.000000,720.000000,720.000000,HEURISTIC
31,1073,137924.000000,137924.000000,0.000000,137924.000000,138884.000000,960.000000,960.000000,HEURISTIC
32,1074,138218.000000,138218.000000,0.000000,138218.000000,139018.000000,800.000000,800.000000,HEURISTIC
33,1075,119568.000000,119568.000000,0.000000,119568.000000,121008.000000,1440.000000,1440.000000,HEURISTIC
34,1076,158820.000000,158820.000000,0.000000,158820.000000,159860.000000,1040.000000,1040.000000,HEURISTIC
35,1077,141440.000000,141440.000000,0.000000,141440.000000,142560.000000,1120.000000,1120.000000,HEURISTIC
36,1078,149859.000000,149859.000000,0.000000,149859.000000,150979.000000,1120.000000,1120.000000,HEURISTIC
37,1079,131639.000000,131639.000000,0.000000,131639.000000,132079.000000,440.000000,440.000000,HEURISTIC
38,1080,133146.000000,133146.000000,0.000000,133146.000000,133786.000000,640.000000,640.000000,HEURISTIC
39,1081,141155.000000,141875.000000,720.000000,141235.000000,143315.000000,2080.000000,1360.000000,HEURISTIC
40,1082,150383.000000,150383.000000,0.000000,150383.000000,151543.000000,1160.000000,1160.000000,HEURISTIC
41,1083,131117.000000,131897.000000,780.000000,131117.000000,132937.000000,1820.000000,1040.000000,HEURISTIC
42,1084,129184.000000,129184.000000,0.000000,129184.000000,130864.000000,1680.000000,1680.000000,HEURISTIC
43,1085,147773.000000,148733.000000,960.000000,147773.000000,149933.000000,2160.000000,1200.000000,HEURISTIC
44,1086,125976.000000,125976.000000,0.000000,125976.000000,126696.000000,720.000000,720.000000,HEURISTIC
45,1087,149845.000000,149845.000000,0.000000,149845.000000,150565.000000,720.000000,720.000000,HEURISTIC
46,1088,142976.000000,142976.000000,0.000000,142976.000000,143776.000000,800.000000,800.000000,HEURISTIC
47,1089,143751.000000,143871.000000,120.000000,143751.000000,144431.000000,680.000000,560.000000,HEURISTIC
48,1090,146346.000000,146346.000000,0.000000,146346.000000,147066.000000,720.000000,720.000000,HEURISTIC
49,1091,116785.000000,116785.000000,0.000000,116785.000000,118145.000000,1360.000000,1360.000000,HEURISTIC
50,1092,130891.000000,130891.000000,0.000000,130891.000000,132091.000000,1200.000000,1200.000000,HEURISTIC
51,1093,127751.000000,128531.000000,780.000000,127751.000000,129331.000000,1580.000000,800.000000,HEURISTIC
52,1094,124207.000000,124207.000000,0.000000,124207.000000,125167.000000,960.000000,960.000000,HEURISTIC
53,1095,135359.000000,135359.000000,0.000000,135359.000000,136319.000000,960.000000,960.000000,HEURISTIC
54,1096,146399.000000,146399.000000,0.000000,146399.000000,147279.000000,880.000000,880.000000,HEURISTIC
55,1097,134450.000000,134450.000000,0.000000,134450.000000,135250.000000,800.000000,800.000000,HEURISTIC
56,1098,136949.000000,136949.000000,0.000000,136949.000000,137909.000000,960.000000,960.000000,HEURISTIC
57,1099,129482.000000,129482.000000,0.000000,129482.000000,130042.000000,560.000000,560.000000,HEURISTIC
58,1100,150362.000000,150362.000000,0.000000,150362.000000,151322.000000,960.000000,960.000000,HEURISTIC
59,1101,131117.000000,131897.000000,780.000000,131117.000000,133017.000000,1900.000000,1120.000000,HEURISTIC
60,1102,130245.000000,130245.000000,0.000000,130245.000000,130845.000000,600.000000,600.000000,HEURISTIC
61,1103,133069.000000,133309.000000,240.000000,133069.000000,134109.000000,1040.000000,800.000000,HEURISTIC
62,1104,139766.000000,140246.000000,480.000000,139766.000000,141446.000000,1680.000000,1200.000000,HEURISTIC
63,1105,147767.000000,147767.000000,0.000000,147767.000000,148727.000000,960.000000,960.000000,HEURISTIC
64,1106,141210.000000,141330.000000,120.000000,141210.000000,141810.000000,600.000000,480.000000,HEURISTIC
65,1107,149586.000000,149586.000000,0.000000,149586.000000,150146.000000,560.000000,560.000000,HEURISTIC
66,1108,120771.000000,120771.000000,0.000000,120771.000000,122131.000000,1360.000000,1360.000000,HEURISTIC
67,1109,158014.000000,158014.000000,0.000000,158094.000000,159374.000000,1280.000000,1280.000000,HEURISTIC
68,1110,145769.000000,145769.000000,0.000000,145769.000000,146849.000000,1080.000000,1080.000000,HEURISTIC
69,1111,129007.000000,129007.000000,0.000000,129007.000000,129727.000000,720.000000,720.000000,HEURISTIC
70,1112,115714.000000,115714.000000,0.000000,115714.000000,116114.000000,400.000000,400.000000,HEURISTIC
71,1113,127933.000000,127933.000000,0.000000,127933.000000,128853.000000,920.000000,920.000000,HEURISTIC
72,1114,138315.000000,138315.000000,0.000000,138315.000000,139515.000000,1200.000000,1200.000000,HEURISTIC
73,1115,131413.000000,131413.000000,0.000000,131413.000000,131813.000000,400.000000,400.000000,HEURISTIC
74,1116,126787.000000,126787.000000,0.000000,126787.000000,127667.000000,880.000000,880.000000,HEURISTIC
75,1117,142461.000000,142821.000000,360.000000,142621.000000,143461.000000,840.000000,480.000000,HEURISTIC
76,1118,156203.000000,156203.000000,0.000000,156203.000000,156923.000000,720.000000,720.000000,HEURISTIC
77,1119,134162.000000,134162.000000,0.000000,134242.000000,135042.000000,800.000000,800.000000,HEURISTIC
78,1120,134922.000000,135642.000000,720.000000,134922.000000,136602.000000,1680.000000,960.000000,HEURISTIC
79,1121,126335.000000,126335.000000,0.000000,126335.000000,127775.000000,1440.000000,1440.000000,HEURISTIC
80,1122,158923.000000,159523.000000,600.000000,158923.000000,160483.000000,1560.000000,960.000000,HEURISTIC
81,1123,126739.000000,126859.000000,120.000000,126739.000000,127819.000000,1080.000000,960.000000,HEURISTIC
82,1124,137772.000000,137772.000000,0.000000,137772.000000,138412.000000,640.000000,640.000000,HEURISTIC
83,1125,146822.000000,148142.000000,1320.000000,146822.000000,149822.000000,3000.000000,1680.000000,HEURISTIC
84,1126,143358.000000,143358.000000,0.000000,143358.000000,144638.000000,1280.000000,1280.000000,HEURISTIC
85,1127,136877.000000,137417.000000,540.000000,136877.000000,138457.000000,1580.000000,1040.000000,HEURISTIC
86,1128,131530.000000,132310.000000,780.000000,131530.000000,133590.000000,2060.000000,1280.000000,HEURISTIC
87,1129,130111.000000,130111.000000,0.000000,130111.000000,130591.000000,480.000000,480.000000,HEURISTIC
88,1130,140049.000000,140049.000000,0.000000,140049.000000,140689.000000,640.000000,640.000000,HEURISTIC
89,1131,142561.000000,142561.000000,0.000000,142561.000000,143761.000000,1200.000000,1200.000000,HEURISTIC
90,1132,141019.000000,141019.000000,0.000000,141019.000000,141899.000000,880.000000,880.000000,HEURISTIC
91,1133,137307.000000,137307.000000,0.000000,137307.000000,138667.000000,1360.000000,1360.000000,HEURISTIC
92,1134,151158.000000,151158.000000,0.000000,151158.000000,152078.000000,920.000000,920.000000,HEURISTIC
93,1135,140322.000000,140322.000000,0.000000,140322.000000,141122.000000,800.000000,800.000000,HEURISTIC
94,1136,135816.000000,135816.000000,0.000000,135816.000000,136536.000000,720.000000,720.000000,HEURISTIC
95,1137,131021.000000,131021.000000,0.000000,131021.000000,131821.000000,800.000000,800.000000,HEURISTIC
96,1138,138209.000000,138209.000000,0.000000,138209.000000,139649.000000,1440.000000,1440.000000,HEURISTIC
97,1139,124631.000000,124631.000000,0.000000,124631.000000,125271.000000,640.000000,640.000000,HEURISTIC
98,1140,127076.000000,127076.000000,0.000000,127076.000000,127636.000000,560.000000,560.000000,HEURISTIC
99,1141,126428.000000,126428.000000,0.000000,126508.000000,126868.000000,360.000000,360.000000,HEURISTIC
100,1142,135923.000000,135923.000000,0.000000,135923.000000,136403.000000,480.000000,480.000000,HEURISTIC
