replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,1043,171417.000000,179277.000000,7860.000000,171417.000000,174037.000000,2620.000000,-5240.000000,LLM
2,1044,122565.000000,130305.000000,7740.000000,122565.000000,126125.000000,3560.000000,-4180.000000,LLM
3,1045,132856.000000,140596.000000,7740.000000,132856.000000,136536.000000,3680.000000,-4060.000000,LLM
4,1046,123926.000000,129746.000000,5820.000000,123926.000000,125946.000000,2020.000000,-3800.000000,LLM
5,1047,134870.000000,140810.000000,5940.000000,134870.000000,137010.000000,2140.000000,-3800.000000,LLM
6,1048,119402.000000,125462.000000,6060.000000,119402.000000,121582.000000,2180.000000,-3880.000000,LLM
7,1049,122696.000000,128636.000000,5940.000000,122696.000000,124836.000000,2140.000000,-3800.000000,LLM
8,1050,143145.000000,149085.000000,5940.000000,143145.000000,145205.000000,2060.000000,-3880.000000,LLM
9,1051,145029.000000,150969.000000,5940.000000,145109.000000,148469.000000,3360.000000,-2580.000000,LLM
10,1052,147504.000000,153564.000000,6060.000000,147504.000000,149764.000000,2260.000000,-3800.000000,LLM
11,1053,136394.000000,142334.000000,5940.000000,136394.000000,138534.000000,2140.000000,-3800.000000,LLM
12,1054,134031.000000,139851.000000,5820.000000,134031.000000,136051.000000,2020.000000,-3800.000000,LLM
13,1055,145541.000000,151601.000000,6060.000000,145541.000000,147801.000000,2260.000000,-3800.000000,LLM
14,1056,140677.000000,146497.000000,5820.000000,140677.000000,142657.000000,1980.000000,-3840.000000,LLM
15,1057,130770.000000,136590.000000,5820.000000,130770.000000,132830.000000,2060.000000,-3760.000000,LLM
16,1058,137639.000000,143579.000000,5940.000000,137639.000000,139899.000000,2260.000000,-3680.000000,LLM
17,1059,141516.000000,147576.000000,6060.000000,141516.000000,143616.000000,2100.000000,-3960.000000,LLM
18,1060,133159.000000,139099.000000,5940.000000,133239.000000,135379.000000,2140.000000,-3800.000000,LLM
19,1061,143737.000000,151477.000000,7740.000000,143737.000000,146037.000000,2300.000000,-5440.000000,LLM
20,1062,148912.000000,154552.000000,5640.000000,148992.000000,150752.000000,1760.000000,-3880.000000,LLM
21,1063,133457.000000,139517.000000,6060.000000,133457.000000,135717.000000,2260.000000,-3800.000000,LLM
22,1064,137191.000000,143131.000000,5940.000000,137191.000000,139251.000000,2060.000000,-3880.000000,LLM
23,1065,140241.000000,146301.000000,6060.000000,140241.000000,143521.000000,3280.000000,-2780.000000,LLM
24,1066,147925.000000,153925.000000,6000.000000,147925.000000,149945.000000,2020.000000,-3980.000000,LLM
25,1067,145710.000000,152070.000000,6360.000000,145710.000000,147850.000000,2140.000000,-4220.000000,LLM
26,1068,134043.000000,140343.000000,6300.000000,134043.000000,136103.000000,2060.000000,-4240.000000,LLM
27,1069,143386.000000,151246.000000,7860.000000,143386.000000,146826.000000,3440.000000,-4420.000000,LLM
28,1070,133153.000000,139273.000000,6120.000000,133153.000000,135293.000000,2140.000000,-3980.000000,LLM
29,1071,135994.000000,141934.000000,5940.000000,135994.000000,138134.000000,2140.000000,-3800.000000,LLM
30,1072,148311.000000,154251.000000,5940.000000,148311.000000,150571.000000,2260.000000,-3680.000000,LLM
31,1073,137924.000000,143984.000000,6060.000000,137924.000000,140104.000000,2180.000000,-3880.000000,LLM
32,1074,138218.000000,144038.000000,5820.000000,138218.000000,140238.000000,2020.000000,-3800.000000,LLM
33,1075,119568.000000,125628.000000,6060.000000,119568.000000,121828.000000,2260.000000,-3800.000000,LLM
34,1076,158820.000000,166680.000000,7860.000000,158820.000000,161240.000000,2420.000000,-5440.000000,LLM
35,1077,141440.000000,147500.000000,6060.000000,141440.000000,143700.000000,2260.000000,-3800.000000,LLM
36,1078,149859.000000,155919.000000,6060.000000,149859.000000,152039.000000,2180.000000,-3880.000000,LLM
37,1079,131639.000000,139379.000000,7740.000000,131639.000000,134959.000000,3320.000000,-4420.000000,LLM
38,1080,133146.000000,139206.000000,6060.000000,133146.000000,135326.000000,2180.000000,-3880.000000,LLM
39,1081,141155.000000,146975.000000,5820.000000,141235.000000,143375.000000,2140.000000,-3680.000000,LLM
40,1082,150383.000000,156443.000000,6060.000000,150383.000000,152563.000000,2180.000000,-3880.000000,LLM
41,1083,131117.000000,137057.000000,5940.000000,131117.000000,133177.000000,2060.000000,-3880.000000,LLM
42,1084,129184.000000,135124.000000,5940.000000,129184.000000,131364.000000,2180.000000,-3760.000000,LLM
43,1085,147773.000000,153713.000000,5940.000000,147773.000000,149913.000000,2140.000000,-3800.000000,LLM
44,1086,125976.000000,131676.000000,5700.000000,125976.000000,127916.000000,1940.000000,-3760.000000,LLM
45,1087,149845.000000,155905.000000,6060.000000,149845.000000,152105.000000,2260.000000,-3800.000000,LLM
46,1088,142976.000000,148916.000000,5940.000000,142976.000000,145116.000000,2140.000000,-3800.000000,LLM
47,1089,143751.000000,149751.000000,6000.000000,143751.000000,145771.000000,2020.000000,-3980.000000,LLM
48,1090,146346.000000,154086.000000,7740.000000,146346.000000,148726.000000,2380.000000,-5360.000000,LLM
49,1091,116785.000000,122605.000000,5820.000000,116785.000000,120285.000000,3500.000000,-2320.000000,LLM
50,1092,130891.000000,136831.000000,5940.000000,130891.000000,132951.000000,2060.000000,-3880.000000,LLM
51,1093,127751.000000,133571.000000,5820.000000,127751.000000,129691.000000,1940.000000,-3880.000000,LLM
52,1094,124207.000000,130027.000000,5820.000000,124207.000000,126187.000000,1980.000000,-3840.000000,LLM
53,1095,135359.000000,143219.000000,7860.000000,135359.000000,137859.000000,2500.000000,-5360.000000,LLM
54,1096,146399.000000,152459.000000,6060.000000,146399.000000,148579.000000,2180.000000,-3880.000000,LLM
55,1097,134450.000000,140390.000000,5940.000000,134450.000000,136590.000000,2140.000000,-3800.000000,LLM
56,1098,136949.000000,142589.000000,5640.000000,136949.000000,138709.000000,1760.000000,-3880.000000,LLM
57,1099,129482.000000,135542.000000,6060.000000,129482.000000,131742.000000,2260.000000,-3800.000000,LLM
58,1100,150362.000000,156302.000000,5940.000000,150362.000000,152542.000000,2180.000000,-3760.000000,LLM
59,1101,131117.000000,136937.000000,5820.000000,131117.000000,133137.000000,2020.000000,-3800.000000,LLM
60,1102,130245.000000,136185.000000,5940.000000,130245.000000,132385.000000,2140.000000,-3800.000000,LLM
61,1103,133069.000000,139009.000000,5940.000000,133069.000000,135209.000000,2140.000000,-3800.000000,LLM
62,1104,139766.000000,145586.000000,5820.000000,139766.000000,141786.000000,2020.000000,-3800.000000,LLM
